model_family,n_seeds,seeds,mean_dev_f1,std_dev_f1,max_dev_f1,best_seed,best_run_id,mean_dev_precision,std_dev_precision,mean_dev_recall,std_dev_recall,mean_dev_prob_std,mean_dev_positive_rate,num_degenerate_runs
b0_roberta,5,"42,123,777,2024,3407",0.6124214977121771,0.010425821234324078,0.6273458445040215,42,b0_roberta_seed42,0.5977235775262602,0.05447473718824407,0.6351758793969848,0.05057683473401459,0.2578564654316525,0.10224558050645008,0
b1_roberta,5,"42,123,777,2024,3407",0.6155538464519333,0.009614505076638327,0.6275510204081632,123,b1_roberta_seed123,0.5832141248706991,0.034047811502999015,0.6542713567839196,0.027615340028209215,0.26795958268919084,0.1071189679885332,0
deberta_base,5,"42,123,777,2024,3407",0.17409252262861313,0.0009951691408839854,0.17587273530711445,2024,deberta_seed2024,0.0953460131038493,0.0005974301704348258,1.0,0.0,5.369204836117705e-05,0.9972288580984234,5
roberta_base,5,"42,123,777,2024,3407",0.6150629046569391,0.008115999719416171,0.6219239373601789,42,roberta_seed42,0.5685767922061367,0.02394035271875361,0.6723618090452261,0.03682426323730904,0.2665446393797889,0.11275680840898232,0
roberta_large,5,"42,123,777,2024,3407",0.599192017571852,0.020427541494042675,0.6288659793814433,777,roberta_large_seed777,0.6240881602521604,0.05638142982108396,0.5819095477386934,0.048512636728229835,0.2258898653729501,0.08963210702341137,0
